datetimestamp,underlyingSymbol,underlyingPrice,underlyingVol,putCall,strikePrice,expirationType,inTheMoney,lastTradingDay,expirationDate,daysToExpiration,openInterest,theoreticalVolatility,volatility,theoreticalOptionValue,closePrice,last,mark,bid,ask
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,337.5,S,True,2020-07-11 00:00:00,2020-07-10 20:00:00,13,417,29.0,39.152,20.5,20.74,20.6,20.5,20.1,20.9
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,340.0,S,True,2020-07-11 00:00:00,2020-07-10 20:00:00,13,400,29.0,38.61,18.625,18.7,20.5,18.63,18.15,19.1
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,345.0,S,True,2020-07-11 00:00:00,2020-07-10 20:00:00,13,1076,29.0,39.272,15.55,15.13,15.15,15.55,14.8,16.3
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,350.0,S,True,2020-07-11 00:00:00,2020-07-10 20:00:00,13,1617,29.0,36.503,11.925,11.96,11.8,11.93,11.65,12.2
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,352.5,S,True,2020-07-11 00:00:00,2020-07-10 20:00:00,13,832,29.0,36.075,10.5,10.5,10.65,10.5,10.3,10.7
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,355.0,S,False,2020-07-11 00:00:00,2020-07-10 20:00:00,13,1276,29.0,35.744,9.2,9.2,9.0,9.2,8.9,9.5
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,357.5,S,False,2020-07-11 00:00:00,2020-07-10 20:00:00,13,296,29.0,35.047,7.9,7.92,7.8,7.9,7.65,8.15
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,360.0,S,False,2020-07-11 00:00:00,2020-07-10 20:00:00,13,3137,29.0,35.355,6.975,6.89,6.9,6.98,6.6,7.35
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,362.5,S,False,2020-07-11 00:00:00,2020-07-10 20:00:00,13,1242,29.0,34.547,5.85,5.87,5.79,5.85,5.6,6.1
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,365.0,S,False,2020-07-11 00:00:00,2020-07-10 20:00:00,13,2119,29.0,34.103,4.925,4.93,4.87,4.93,4.75,5.1
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,367.5,S,False,2020-07-11 00:00:00,2020-07-10 20:00:00,13,1590,29.0,33.869,4.15,4.15,4.2,4.15,4.0,4.3
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,370.0,S,False,2020-07-11 00:00:00,2020-07-10 20:00:00,13,4381,29.0,33.787,3.5,3.51,3.5,3.5,3.4,3.6
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,372.5,S,False,2020-07-11 00:00:00,2020-07-10 20:00:00,13,942,29.0,35.035,3.21,2.99,2.9,3.21,2.77,3.65
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,375.0,S,False,2020-07-11 00:00:00,2020-07-10 20:00:00,13,1573,29.0,33.561,2.425,2.46,2.39,2.42,2.24,2.61
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,377.5,S,False,2020-07-11 00:00:00,2020-07-10 20:00:00,13,327,29.0,33.244,1.96,1.96,2.07,1.96,1.79,2.13
